# Perception Results Data Format
# Each line contains one frame's perception data in semicolon-separated format
# Format: [Camera.probBlocked]; 
#         [Person.confidence]; [Person.bbox.x]; [Person.bbox.y]; [Person.bbox.width]; [Person.bbox.height]; 
#         [Head.detection.confidence]; [Head.detection.bbox.x]; [Head.detection.bbox.y]; [Head.detection.bbox.width]; [Head.detection.bbox.height]; 
#         [Head.position.x]; [Head.position.y]; [Head.position.z]; 
#         [Head.orientation.yaw]; [Head.orientation.pitch]; [Head.orientation.roll]; 
#         [Head.gaze.yaw]; [Head.gaze.pitch]; 
#         [Hand1.confidence]; [Hand1.bbox.x]; [Hand1.bbox.y]; [Hand1.bbox.width]; [Hand1.bbox.height]; 
#         [Hand2.confidence]; [Hand2.bbox.x]; [Hand2.bbox.y]; [Hand2.bbox.width]; [Hand2.bbox.height]; 
#         [Eye1.detection.confidence]; [Eye1.detection.bbox.x]; [Eye1.detection.bbox.y]; [Eye1.detection.bbox.width]; [Eye1.detection.bbox.height]; 
#         [Eye1.state.probClosed]; [Eye1.state.probOpen]; [Eye1.state.probUnknown]; 
#         [Eye2.detection.confidence]; [Eye2.detection.bbox.x]; [Eye2.detection.bbox.y]; [Eye2.detection.bbox.width]; [Eye2.detection.bbox.height]; 
#         [Eye2.state.probClosed]; [Eye2.state.probOpen]; [Eye2.state.probUnknown]
# 
# Notes:
# - All bounding boxes (bbox) are normalized to [0,1] range relative to image dimensions
# - All confidences and probabilities are in range [0,1]
# - Orientation/gaze angles are in radians
# - A confidence of 0.0 indicates object was not detected
# - All floating point values are in fixed notation with 3 decimal places
# 
0.024; 0.819; -0.001; -0.007; 0.649; 1.012; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000
0.029; 0.839; -0.007; -0.013; 0.653; 1.024; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000
0.030; 0.783; -0.006; -0.009; 0.652; 1.011; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000
0.028; 0.677; -0.013; -0.014; 0.664; 1.017; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000
0.029; 0.825; -0.011; -0.014; 0.657; 1.018; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000
0.031; 0.800; -0.012; -0.015; 0.658; 1.016; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000
0.030; 0.813; -0.016; -0.016; 0.661; 1.020; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000
0.030; 0.798; -0.011; -0.015; 0.660; 1.019; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000
0.032; 0.566; -0.009; -0.015; 0.658; 1.016; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000
0.030; 0.718; -0.011; -0.017; 0.651; 1.019; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000; 0.000
